Geneid,Chr,Start,End,Strand,Length,T:1.5h-28C-1,T:1.5h-28C-2,T:1.5h-28C-3,T:3h-28C-1,T:3h-28C-2,T:3h-28C-3,T:9h-28C-1,T:9h-28C-2,T:9h-28C-3,C:1,C:2,C:3
gene:Solyc00g005280.1,SL3.0ch00;SL3.0ch00,2190965;2191248,2191155;2191467,+;+,411,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005283.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,2351290;2354365;2354558,2353661;2354413;2354618,-;-;-,2482,10,17,2,16,11,28,6,10,14,10,33,18
gene:Solyc00g005285.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,2355018;2355355;2355581;2355710;2356222;2356462,2355269;2355361;2355665;2355851;2356232;2356500,-;-;-;-;-;-,536,15,32,10,21,12,49,24,28,26,24,32,22
gene:Solyc00g005287.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,2356574;2357450;2357723,2356654;2357485;2357974,-;-;-,369,26,35,21,20,29,19,30,22,26,20,19,46
gene:Solyc00g005430.1,SL3.0ch00,2358407,2358571,-,165,0,0,1,0,0,0,1,0,2,0,2,0
gene:Solyc00g005440.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,2364387;2365026;2365161,2364400;2365140;2365409,-;-;-,378,0,0,0,0,1,0,0,0,0,1,0,0
gene:Solyc00g005445.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,2365433;2366455;2366691;2366984;2377741,2365591;2366553;2366750;2367055;2377779,-;-;-;-;-,429,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005450.1,SL3.0ch00,2466350,2466613,+,264,2,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005460.2,SL3.0ch00;SL3.0ch00,2490463;2490641,2490613;2490753,-;-,264,0,0,0,0,0,0,0,0,0,0,2,0
gene:Solyc00g005470.2,SL3.0ch00;SL3.0ch00,2490784;2491440,2490980;2491481,-;-,239,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005480.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,2612591;2612806;2613994,2612659;2612889;2614206,+;+;+,366,0,0,0,2,0,0,2,0,0,2,2,6
gene:Solyc00g005840.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,3425447;3426158;3428573;3430603,3425818;3426322;3428755;3431254,-;-;-;-,1372,0,1,0,0,0,0,0,0,0,0,2,0
gene:Solyc00g005850.2,SL3.0ch00,3432038,3432603,-,566,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005890.3,SL3.0ch00;SL3.0ch00;SL3.0ch00,3563172;3564378;3566844,3564293;3564432;3566909,-;-;-,1243,4,2,0,2,0,0,2,0,2,0,0,1
gene:Solyc00g005900.2,SL3.0ch00;SL3.0ch00,3738683;3739440,3738947;3739496,-;-,322,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006020.1,SL3.0ch00,3945108,3945425,+,318,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006090.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,4009718;4010170;4010425,4010077;4010292;4010706,+;+;+,765,4,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006170.1,SL3.0ch00,4101288,4101899,+,612,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005903.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,4164097;4164226;4167815,4164144;4164560;4167899,+;+;+,468,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005907.1,SL3.0ch00;SL3.0ch00,4174135;4174658,4174501;4176983,+;+,2693,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006480.1,SL3.0ch00;SL3.0ch00,4234312;4234833,4234647;4235168,+;+,672,0,2,6,4,2,0,0,0,0,4,4,4
gene:Solyc00g006483.1,SL3.0ch00;SL3.0ch00,4285570;4285879,4285577;4286251,-;-,381,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006487.1,SL3.0ch00;SL3.0ch00,4286866;4287130,4286998;4287311,-;-,315,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006490.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,4297108;4298701;4299011;4299231;4299385;4299633;4303669;4303850;4305231;4305437;4306724;4310207;4310442;4310799;4313365;4314343;4314715;4314867;4315325,4297246;4298804;4299097;4299306;4299517;4299686;4303728;4303966;4305325;4305642;4306821;4310310;4310607;4310921;4313447;4314484;4314744;4314937;4317149,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3713,246,260,267,287,244,256,276,264,373,297,343,294
gene:Solyc00g006500.1,SL3.0ch00,4371067,4371312,-,246,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006510.1,SL3.0ch00;SL3.0ch00,4372360;4372477,4372389;4372647,+;+,201,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006520.1,SL3.0ch00;SL3.0ch00,4372981;4373208,4373107;4373587,+;+,507,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006530.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,4377315;4377849;4378354;4378716,4377742;4378038;4378613;4378830,-;-;-;-,993,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006540.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,4379028;4379312;4380477;4381053;4383840;4385523;4386356,4379242;4379680;4380714;4381292;4383934;4385766;4386391,-;-;-;-;-;-;-,1437,8,5,12,4,1,2,2,6,2,5,1,4
gene:Solyc00g006550.1,SL3.0ch00,4528831,4529463,-,633,0,0,0,0,0,2,0,0,0,0,0,2
gene:Solyc00g006560.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,4580844;4581285;4582800,4581227;4581682;4583304,-;-;-,1287,0,0,0,0,0,0,0,0,0,2,0,0
gene:Solyc00g006590.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,5029930;5030941;5031173,5030810;5031091;5032575,-;-;-,2435,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006650.1,SL3.0ch00,5617619,5617777,-,159,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006655.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,5619099;5619369;5619584,5619215;5619531;5619735,-;-;-,432,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006660.1,SL3.0ch00,5630503,5630655,+,153,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006680.2,SL3.0ch00,5631657,5631884,+,228,0,2,0,4,2,1,1,6,6,2,3,3
gene:Solyc00g006683.1,SL3.0ch00;SL3.0ch00,5681847;5682229,5682148;5682337,-;-,411,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006800.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,5777063;5777772;5778067;5778547;5779094;5779377;5780177,5777389;5777943;5778116;5778847;5779282;5779559;5780686,+;+;+;+;+;+;+,1732,10,0,2,8,10,2,0,10,8,8,6,12
gene:Solyc00g006805.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,5777548;5777889;5779139;5780011;5780130,5777628;5777982;5779434;5780037;5780749,-;-;-;-;-,1118,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006810.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,5786772;5787145;5787456;5789016;5789193;5789562;5789722;5790032;5790881;5791042,5787071;5787193;5787578;5789101;5789243;5789642;5789766;5790087;5790956;5791456,+;+;+;+;+;+;+;+;+;+,1282,190,273,245,234,280,224,314,321,253,312,391,319
gene:Solyc00g006820.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,5821901;5823077;5823941;5824665,5822120;5823606;5824521;5825755,+;+;+;+,2422,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006830.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,5828055;5830017;5830394;5836762,5829520;5830236;5830965;5838523,-;-;-;-,4020,14,16,8,2,20,16,18,11,23,22,18,22
gene:Solyc00g006840.3,SL3.0ch00,6188901,6189244,+,344,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006850.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,6239160;6239962;6240430,6239516;6240045;6240615,-;-;-,627,0,0,0,0,0,0,0,0,0,1,0,0
gene:Solyc00g006860.2,SL3.0ch00,6280052,6280339,-,288,0,0,0,0,0,0,2,0,0,0,0,0
gene:Solyc00g006867.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,6392080;6392303;6393070,6392092;6392439;6393522,+;+;+,603,0,2,0,0,4,4,0,0,0,0,2,5
gene:Solyc00g006870.1,SL3.0ch00,6406881,6407075,+,195,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006880.1,SL3.0ch00;SL3.0ch00,6435745;6436563,6435772;6436807,+;+,273,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g006890.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,6448981;6449275;6449439,6449148;6449367;6449561,+;+;+,384,0,0,0,0,0,0,2,0,0,0,0,0
gene:Solyc00g006900.1,SL3.0ch00,6520310,6520795,+,486,0,0,0,0,0,0,0,0,0,0,2,0
gene:Solyc00g006903.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,6546894;6547066;6547223;6547375;6549143;6549354;6549460;6549952,6547030;6547178;6547346;6547503;6549263;6549431;6549854;6550102,-;-;-;-;-;-;-;-,1248,0,0,0,0,0,0,0,0,0,1,0,0
gene:Solyc00g006907.1,SL3.0ch00;SL3.0ch00,6570447;6570894,6570811;6571017,-;-,489,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007550.1,SL3.0ch00;SL3.0ch00,6649525;6649995,6649590;6650039,-;-,111,0,0,0,0,0,2,0,0,0,0,0,0
gene:Solyc00g007560.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,6674573;6675108;6676702,6674607;6675678;6677033,+;+;+,938,0,0,0,0,0,0,0,2,0,1,0,0
gene:Solyc00g007555.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,6675304;6676574;6676702,6675600;6676624;6677033,+;+;+,680,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007570.2,SL3.0ch00,6677277,6677501,-,225,1,0,2,3,0,0,0,2,2,2,4,5
gene:Solyc00g007600.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,6689902;6690720;6691215;6691978;6692094,6690477;6690777;6691306;6691999;6693238,-;-;-;-;-,1893,0,0,0,2,0,4,2,2,2,2,0,2
gene:Solyc00g007910.1,SL3.0ch00,6877921,6878481,-,561,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007920.1,SL3.0ch00;SL3.0ch00,6889914;6890319,6890186;6890411,-;-,366,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007925.1,SL3.0ch00;SL3.0ch00,6895675;6898103,6897456;6898252,-;-,1932,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007930.1,SL3.0ch00;SL3.0ch00,6919019;6919497,6919395;6919608,-;-,489,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007950.1,SL3.0ch00,6926268,6926603,-,336,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007960.1,SL3.0ch00;SL3.0ch00,6933960;6934513,6934295;6934602,-;-,426,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007970.1,SL3.0ch00,6941163,6941525,-,363,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007980.1,SL3.0ch00,6942188,6942523,-,336,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g007990.1,SL3.0ch00,6956198,6956617,+,420,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008000.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,6967701;6968980;6969189;6969756;6970475;6971744;6972377;6973441;6973964,6967920;6969109;6969302;6970005;6970606;6972092;6972549;6973609;6974073,-;-;-;-;-;-;-;-;-,1647,0,0,0,0,0,0,1,0,0,0,0,0
gene:Solyc00g008010.1,SL3.0ch00,6985551,6985748,-,198,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008020.1,SL3.0ch00;SL3.0ch00,6990029;6991104,6990588;6991194,-;-,651,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008030.1,SL3.0ch00,6992867,6993244,-,378,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008040.1,SL3.0ch00;SL3.0ch00,7004363;7005092,7004524;7005181,-;-,252,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008050.1,SL3.0ch00,7054641,7055063,-,423,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008055.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7064415;7068475;7068737;7069054,7068363;7068650;7068968;7069205,-;-;-;-,4509,0,0,0,0,1,0,0,0,0,0,1,0
gene:Solyc00g008060.1,SL3.0ch00;SL3.0ch00,7069400;7070110,7069741;7070304,-;-,537,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008070.2,SL3.0ch00;SL3.0ch00,7080628;7081512,7081092;7081670,+;+,624,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008080.1,SL3.0ch00;SL3.0ch00,7082749;7083017,7082968;7083198,-;-,402,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008090.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7082832;7083073;7083497;7083734;7084093;7084461;7084660;7085001;7085310;7085514;7085875;7086312;7086433;7086850,7083044;7083309;7083662;7084047;7084401;7084566;7084967;7085156;7085478;7085788;7086237;7086402;7086758;7086900,-;-;-;-;-;-;-;-;-;-;-;-;-;-,3084,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008100.1,SL3.0ch00;SL3.0ch00,7086429;7087067,7086758;7087321,-;-,585,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008110.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7096509;7097032;7097596;7098166;7099791,7096792;7097308;7098047;7098427;7099931,-;-;-;-;-,1416,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008120.1,SL3.0ch00,7105920,7106285,-,366,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008130.1,SL3.0ch00;SL3.0ch00,7118401;7119572,7118701;7119747,-;-,477,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008140.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,7120767;7121375;7121779,7121114;7121704;7121907,-;-;-,807,0,0,0,2,0,0,0,0,0,0,0,0
gene:Solyc00g008150.1,SL3.0ch00,7144758,7145063,-,306,0,0,0,0,0,0,0,0,1,0,0,0
gene:Solyc00g008160.1,SL3.0ch00,7159415,7159867,-,453,0,0,0,2,0,0,0,0,0,0,0,0
gene:Solyc00g008165.1,SL3.0ch00;SL3.0ch00,7192283;7195509,7193881;7195663,+;+,1754,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008260.2,SL3.0ch00,7279832,7279903,+,72,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008265.1,SL3.0ch00;SL3.0ch00,7291601;7291878,7291825;7292153,+;+,501,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008270.1,SL3.0ch00,7311769,7311933,+,165,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008570.2,SL3.0ch00;SL3.0ch00,7583021;7584056,7583105;7584122,-;-,152,672,2091,1030,1371,661,1380,1186,1046,762,695,788,1397
gene:Solyc00g008580.1,SL3.0ch00,7584183,7584389,+,207,7075,25193,13160,17486,9828,14660,13962,12542,8068,7523,8769,14777
gene:Solyc00g008800.2,SL3.0ch00,7659656,7659775,-,120,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008910.1,SL3.0ch00,7695876,7696025,+,150,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g008915.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7734341;7734556;7734804;7735067;7735284;7735654;7736278;7736546;7736705;7736913;7737068;7737193;7737498;7737597,7734510;7734775;7734985;7735253;7735571;7736199;7736517;7736622;7736884;7737042;7737147;7737455;7737556;7737914,-;-;-;-;-;-;-;-;-;-;-;-;-;-,2940,0,0,0,0,0,0,0,0,0,2,0,2
gene:Solyc00g009020.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7795999;7796907;7797972;7798622;7799142;7799515;7799740,7796179;7797003;7798116;7798732;7799288;7799637;7799803,+;+;+;+;+;+;+,868,948,958,1035,1150,1216,999,1144,1118,1295,1376,1276,1591
gene:Solyc00g009030.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7800749;7800926;7801139;7801612;7802082,7800884;7801085;7801568;7802025;7802222,-;-;-;-;-,1281,2,2,4,2,0,0,5,10,2,4,2,0
gene:Solyc00g009040.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7813312;7815990;7816856;7817027;7817340;7817839;7818111,7814879;7816762;7816933;7817116;7817621;7818045;7818329,+;+;+;+;+;+;+,3217,2023,2322,2308,2403,2554,2993,2936,3233,3088,3112,3265,3284
gene:Solyc00g009050.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7819850;7821269;7821524;7821884,7820734;7821436;7821815;7822149,-;-;-;-,1611,8,8,8,6,14,14,10,16,8,8,16,6
gene:Solyc00g009060.3,SL3.0ch00;SL3.0ch00;SL3.0ch00,7826191;7827344;7828162,7826526;7827508;7828423,+;+;+,763,0,0,0,2,0,4,2,0,0,4,2,2
gene:Solyc00g009070.1,SL3.0ch00,7828931,7829317,-,387,20,26,26,24,28,24,28,18,14,32,28,38
gene:Solyc00g009080.3,SL3.0ch00,7831232,7831705,+,474,20,22,22,16,21,26,38,16,16,26,14,32
gene:Solyc00g009090.3,SL3.0ch00;SL3.0ch00,7836838;7837935,7837794;7841622,-;-,4645,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g009100.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7847226;7847776;7849511;7850754;7851083;7851642;7851795;7853049,7847618;7847824;7849636;7850851;7851163;7851713;7851869;7854022,-;-;-;-;-;-;-;-,1868,8,9,2,0,4,8,14,10,0,6,8,4
gene:Solyc00g009110.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7873112;7873891;7874070;7874673;7876714;7877880;7878614;7879523;7880729,7873211;7873963;7874298;7875537;7876898;7877988;7878756;7879757;7880752,+;+;+;+;+;+;+;+;+,1963,828,714,866,839,1019,988,1078,937,1079,1019,1137,1120
gene:Solyc00g009120.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7881498;7885149;7885374;7886135;7886330,7881565;7885299;7885430;7886256;7886534,+;+;+;+;+,603,62,52,58,84,87,118,120,109,76,100,88,109
gene:Solyc00g009140.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,7887381;7888488;7889519;7889744;7891000;7891193,7887406;7888607;7889669;7889800;7891121;7891413,+;+;+;+;+;+,697,29,36,19,28,21,20,39,47,33,37,52,18
gene:Solyc00g009141.1,SL3.0ch00;SL3.0ch00,7896240;7896698,7896607;7897016,-;-,687,28,44,30,36,63,52,49,42,44,58,50,69
gene:Solyc00g009142.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,8040914;8041119;8041196;8041337;8041433,8041088;8041170;8041309;8041374;8041683,+;+;+;+;+,630,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g009143.1,SL3.0ch00;SL3.0ch00,8050017;8050403,8050278;8050764,+;+,624,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g009144.1,SL3.0ch00;SL3.0ch00,8089350;8089613,8089559;8089866,+;+,464,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g009145.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,8109168;8113806;8144156;8177365;8178626,8109223;8113838;8144849;8177950;8178742,+;+;+;+;+,1486,0,0,0,0,0,0,0,0,0,1,0,4
gene:Solyc00g009146.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,8202144;8202213;8202364;8202567;8202786;8203079;8209573;8214562,8202177;8202333;8202522;8202744;8203027;8203169;8209761;8215570,-;-;-;-;-;-;-;-,2023,1,6,7,1,11,3,9,3,3,4,5,4
gene:Solyc00g009540.1,SL3.0ch00;SL3.0ch00,8209884;8210384,8210290;8210678,-;-,702,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g009148.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,8300358;8300645;8300959;8301176;8301503;8304359;8304412;8304650;8304996;8305256;8305598;8305724;8305989;8306691;8306850;8307009;8307175,8300616;8300928;8301145;8301401;8301665;8304385;8304621;8304950;8305231;8305570;8305688;8305960;8306102;8306819;8306980;8307137;8307267,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3132,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g009650.1,SL3.0ch00,8316070,8316387,-,318,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g009760.2,SL3.0ch00;SL3.0ch00,8406084;8406565,8406111;8407014,+;+,478,3665,12809,5807,8672,4898,7154,7391,7774,5647,4681,5146,8936
gene:Solyc00g009765.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,8626892;8627067;8627219;8627389,8627023;8627190;8627355;8627613,+;+;+;+,618,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g010410.1,SL3.0ch00,8776038,8776193,+,156,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g010420.1,SL3.0ch00,8822427,8822597,+,171,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc06g024330.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,8835978;8837320;8849857,8836008;8837335;8849896,+;+;+,87,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g010520.1,SL3.0ch00,8837348,8837560,-,213,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g010525.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,8854261;8854463;8854716;8855020;8855190;8855867;8855973;8856072,8854371;8854683;8854931;8855092;8855273;8855944;8856050;8856638,+;+;+;+;+;+;+;+,1428,739,2708,1986,2445,1355,1891,2042,1657,1185,1122,1260,2069
gene:Solyc00g010530.1,SL3.0ch00,8854671,8854847,-,177,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g010750.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,8950493;8951004;8951207;8951402;8951828;8952906;8953240,8950755;8951117;8951350;8951563;8952357;8952968;8954513,-;-;-;-;-;-;-,2550,101,116,139,126,99,109,124,160,145,142,148,101
gene:Solyc00g010760.1,SL3.0ch00;SL3.0ch00,8954709;8955223,8955057;8955572,-;-,699,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g010755.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,8971979;8973760;8974053,8972069;8973836;8974152,-;-;-,268,2,2,7,3,1,3,3,3,2,2,5,2
